epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,82.3764,1.27056,1.43112,1.22436,1,0.54856,0.61529,0.38997,1.4721,1.86792,1.44966,0.0011684,0.0011684,0.0011684
44,83.7446,1.32892,1.58401,1.31502,1,0.55981,0.59241,0.40793,1.49911,1.82757,1.48437,0.0011486,0.0011486,0.0011486
45,85.0251,1.32745,1.45228,1.35041,1,0.62243,0.65505,0.41942,1.4936,1.64017,1.48881,0.0011288,0.0011288,0.0011288
46,86.2992,1.36038,1.42479,1.28719,1,0.61723,0.66047,0.43414,1.42483,1.55022,1.48036,0.001109,0.001109,0.001109
47,87.5674,1.46471,1.57895,1.35545,1,0.6188,0.66132,0.42807,1.42046,1.51636,1.51275,0.0010892,0.0010892,0.0010892
48,88.8986,1.36651,1.4597,1.31172,0.90795,0.61715,0.68986,0.43951,1.44742,1.57941,1.58286,0.0010694,0.0010694,0.0010694
49,90.1711,1.2407,1.39642,1.24807,0.95171,0.5625,0.6808,0.3993,1.43448,1.80267,1.60261,0.0010496,0.0010496,0.0010496
50,91.47,1.26392,1.32389,1.22682,1,0.54851,0.66264,0.39252,1.48006,2.05175,1.60483,0.0010298,0.0010298,0.0010298
51,92.6939,1.22267,1.2908,1.17379,0.89902,0.55701,0.61473,0.34976,1.51373,2.22171,1.56499,0.00101,0.00101,0.00101
52,93.9048,1.23502,1.32418,1.25313,0.81376,0.5473,0.57751,0.34449,1.46559,2.10363,1.45058,0.0009902,0.0009902,0.0009902
53,95.1713,1.26746,1.30008,1.23757,0.89815,0.5625,0.59729,0.37699,1.37587,1.87824,1.38347,0.0009704,0.0009704,0.0009704
54,96.4814,1.32639,1.39816,1.35848,0.893,0.5625,0.60772,0.42209,1.3201,1.67992,1.36168,0.0009506,0.0009506,0.0009506
55,97.8276,1.18872,1.2907,1.2652,0.90664,0.60817,0.64889,0.42407,1.28321,1.67812,1.36382,0.0009308,0.0009308,0.0009308
56,99.1537,1.13781,1.21146,1.24817,0.73673,0.625,0.62915,0.40419,1.2785,1.77175,1.41821,0.000911,0.000911,0.000911
57,100.397,1.11721,1.235,1.22057,0.80819,0.625,0.62636,0.40598,1.29849,1.92031,1.47646,0.0008912,0.0008912,0.0008912
58,101.602,1.19638,1.29947,1.24818,0.89212,0.625,0.64157,0.43017,1.34416,1.70324,1.49685,0.0008714,0.0008714,0.0008714
59,102.828,1.1973,1.2397,1.23464,0.89788,0.625,0.68111,0.43306,1.35106,1.50614,1.50126,0.0008516,0.0008516,0.0008516
60,104.045,1.11863,1.18019,1.20324,0.90053,0.625,0.6918,0.41235,1.37851,1.49117,1.47929,0.0008318,0.0008318,0.0008318
61,105.254,1.16613,1.2182,1.21442,0.90787,0.61661,0.68917,0.39826,1.48277,1.54537,1.49685,0.000812,0.000812,0.000812
62,106.472,1.20083,1.27269,1.237,0.98178,0.5625,0.67907,0.41076,1.50237,1.55909,1.44371,0.0007922,0.0007922,0.0007922
63,107.785,1.18823,1.24825,1.21886,0.98323,0.5625,0.65612,0.4156,1.50426,1.56846,1.41816,0.0007724,0.0007724,0.0007724
64,109.15,1.21365,1.18848,1.25397,1,0.55376,0.70701,0.39673,1.49805,1.64421,1.39758,0.0007526,0.0007526,0.0007526
65,111.187,1.14845,1.14379,1.19083,0.97972,0.5625,0.68033,0.407,1.46132,1.69151,1.37308,0.0007328,0.0007328,0.0007328
66,112.399,1.07674,1.1113,1.16778,0.96641,0.5625,0.68358,0.43157,1.37966,1.64215,1.35946,0.000713,0.000713,0.000713
67,113.679,1.11557,1.09456,1.18503,0.97773,0.5625,0.67553,0.44877,1.34296,1.60849,1.37129,0.0006932,0.0006932,0.0006932
68,114.93,1.22155,1.23771,1.19748,0.97511,0.5625,0.64829,0.4385,1.37685,1.61847,1.387,0.0006734,0.0006734,0.0006734
69,116.127,1.11914,1.09365,1.26068,0.97713,0.5625,0.6562,0.43884,1.3961,1.52672,1.38972,0.0006536,0.0006536,0.0006536
70,117.363,1.20374,1.16245,1.26465,0.87313,0.625,0.67849,0.4211,1.43898,1.49964,1.36892,0.0006338,0.0006338,0.0006338
71,118.569,1.04157,1.05218,1.21673,0.87415,0.625,0.69746,0.44219,1.42265,1.47078,1.34112,0.000614,0.000614,0.000614
72,119.831,1.09644,1.16355,1.20454,0.95723,0.5625,0.70989,0.44194,1.41168,1.53987,1.33167,0.0005942,0.0005942,0.0005942
73,121.036,1.07579,1.11756,1.16649,0.87684,0.5625,0.70127,0.44212,1.40976,1.52408,1.32401,0.0005744,0.0005744,0.0005744
74,122.236,1.10623,1.14418,1.17487,0.97005,0.5625,0.72236,0.48147,1.36491,1.36103,1.29213,0.0005546,0.0005546,0.0005546
75,123.501,1.14546,1.16665,1.23089,0.90826,0.61928,0.73266,0.49966,1.34038,1.25294,1.28444,0.0005348,0.0005348,0.0005348
76,125.006,0.98898,1.05981,1.11579,0.90026,0.625,0.73368,0.516,1.33135,1.23553,1.31857,0.000515,0.000515,0.000515
77,126.256,1.10301,1.10447,1.15224,0.89434,0.625,0.7265,0.51188,1.32493,1.24072,1.32877,0.0004952,0.0004952,0.0004952
78,127.36,1.06471,1.14216,1.22858,0.884,0.625,0.7311,0.4865,1.3196,1.24476,1.3014,0.0004754,0.0004754,0.0004754
79,128.318,1.0073,1.03528,1.14045,1,0.62247,0.73429,0.48947,1.38026,1.26988,1.33091,0.0004556,0.0004556,0.0004556
80,129.391,1.02484,0.97488,1.1604,0.98995,0.625,0.74313,0.49332,1.37228,1.27669,1.31683,0.0004358,0.0004358,0.0004358
81,130.611,1.06301,0.99829,1.18626,0.98797,0.625,0.74334,0.4981,1.32674,1.26697,1.2861,0.000416,0.000416,0.000416
82,131.858,1.13249,1.09249,1.23422,0.98295,0.625,0.76777,0.50878,1.31816,1.23769,1.27066,0.0003962,0.0003962,0.0003962
83,133.006,1.06258,1.01986,1.13503,0.97968,0.625,0.77171,0.52273,1.27002,1.20608,1.25368,0.0003764,0.0003764,0.0003764
84,134.12,0.98687,0.97478,1.1265,0.97128,0.625,0.76784,0.5268,1.2218,1.16293,1.20004,0.0003566,0.0003566,0.0003566
85,135.243,1.0633,1.06721,1.14893,0.90466,0.625,0.76972,0.52717,1.17128,1.1623,1.1706,0.0003368,0.0003368,0.0003368
86,136.361,1.06777,1.05655,1.16421,0.89176,0.625,0.73414,0.50315,1.16833,1.16106,1.16101,0.000317,0.000317,0.000317
87,137.489,1.07028,0.96168,1.13381,0.8935,0.625,0.73186,0.5094,1.17511,1.16526,1.15723,0.0002972,0.0002972,0.0002972
88,138.62,1.02916,1.02174,1.16828,0.89503,0.625,0.72931,0.5114,1.18592,1.17674,1.16532,0.0002774,0.0002774,0.0002774
89,139.78,1.05793,0.95339,1.15112,0.83259,0.625,0.72674,0.49684,1.21158,1.19779,1.17607,0.0002576,0.0002576,0.0002576
90,140.923,1.0305,0.98979,1.14263,0.91507,0.625,0.75077,0.4873,1.2298,1.20585,1.17989,0.0002378,0.0002378,0.0002378
91,171.565,0.85101,0.93998,1.09677,0.94512,0.625,0.75015,0.47048,1.23337,1.20968,1.1927,0.000218,0.000218,0.000218
92,175.021,0.82857,0.91344,1.06569,0.98043,0.625,0.75696,0.47148,1.25689,1.23625,1.20427,0.0001982,0.0001982,0.0001982
93,177.646,0.85422,0.98003,1.06028,1,0.62087,0.75674,0.46272,1.28384,1.24911,1.22265,0.0001784,0.0001784,0.0001784
94,180.413,0.79573,0.92104,1.02691,0.99888,0.625,0.73843,0.44658,1.33804,1.31503,1.25783,0.0001586,0.0001586,0.0001586
95,183.026,0.81459,0.92912,1.02465,0.96684,0.5625,0.68696,0.4497,1.32072,1.36212,1.27643,0.0001388,0.0001388,0.0001388
96,185.563,0.88931,0.97396,1.08997,0.93731,0.5625,0.67981,0.44763,1.31644,1.40638,1.27951,0.000119,0.000119,0.000119
97,188.041,0.77838,0.85703,0.98648,0.90851,0.5625,0.6733,0.44937,1.31895,1.42029,1.28466,9.92e-05,9.92e-05,9.92e-05
98,189.766,0.89168,0.91203,1.08958,0.92235,0.5625,0.67092,0.4577,1.34234,1.41627,1.29134,7.94e-05,7.94e-05,7.94e-05
99,190.865,0.8164,0.87038,1.02878,0.93468,0.5625,0.6719,0.45889,1.33982,1.37482,1.27568,5.96e-05,5.96e-05,5.96e-05
100,191.977,0.84754,0.87227,1.0625,0.95949,0.5625,0.70413,0.46603,1.29812,1.34251,1.24375,3.98e-05,3.98e-05,3.98e-05
